,No,Rider,Front,Rear,Heat1,Pena-1,Heat2,Pena-2,Time,Rating[%],Date,Season,Manufacturer,Class,Machine
450,154,片山 雄介,D:α-13SP,D:Q4,"1'30""126",0,"1'28""805",0,"1'28""805",103.48,2019-09-28,2019,Suzuki,B,SV650
451,151,片山 雄介,D:α-13SP,D:α-13SP,"1'18""748",1,"1'18""309",0,"1'18""309",104.41,2018-10-20,2018,Suzuki,B,SV650
452,129,片山 雄介,D:α-13SP,D:α-13SP,"1'24""863",0,"9'59""999",MC,"1'24""863",106.46,2018-05-03,2018,Suzuki,B,SV650
453,146,片山 雄介,D:α-13SP,D:Q4,"1'21""427",0,"1'21""306",0,"1'21""306",105.18,2019-06-16,2019,Suzuki,B,SV650
454,164,篠宮 将光,D:α14,D:α14,"1'36""689",0,"1'30""732",0,"1'30""732",112.26,2017-11-09,2017,Yamaha,C2,MT-03
455,129,篠宮 将光,D:α-13SP,D:α-13SP,"1'25""617",0,"9'59""999",MC,"1'25""617",114.16,2018-10-20,2018,Honda,C2,CBR600RR
456,166,番場 大介,D:α13SP,D:α13SP,"1'30""821",0,"1'28""366",1,"1'29""366",110.57,2017-11-09,2017,Honda,C1,CBR600F4i
457,152,番場 大介,D:α-13SP,D:α-14,"1'42""300",0,"1'41""313",0,"1'41""313",107.97,2018-08-18,2018,Honda,C1,CBR600F4i
458,167,本間 君枝,D:α13SP,D:α13SP,"1'33""911",0,"1'47""381",0,"1'33""911",116.19,2017-11-09,2017,Honda,C1,VTR250
459,156,本間 君枝,D:α-13SP,D:α-13SP,"1'42""392",0,"1'40""664",1,"1'41""664",108.35,2018-08-18,2018,Honda,C1,VTR250
460,168,丸山 芳幸,D:α14,D:α14,"1'31""868",0,"1'30""514",0,"1'30""514",111.99,2017-11-09,2017,Honda,C1,VTR250
461,181,大越 研二,D:α-13sp,D:α-13sp,"1'23""845",0,"1'22""438",0,"1'22""438",102.0,2017-11-09,2017,Suzuki,A,GSX-R750
462,168,大越 研二,D:α-13SP,D:α-13SP,"9'59""999",0,"9'59""999",0,"9'59""999",,2018-10-20,2018,Suzuki,A,GSX-R750
463,103,中村 幸寛,D:α-13SP,D:α-13SP,"1'48""128",1,"1'43""824",0,"1'43""824",120.99,2019-09-28,2019,Honda,D1,VTR250
464,108,中村 幸寛,D:α-13SP,D:α-13SP,"1'34""859",0,"1'32""543",0,"1'32""543",119.72,2019-06-16,2019,Honda,D1,VTR250
465,115,中村 幸寛,D:α-13SP,D:α-13SP,"1'48""180",0,"1'46""986",0,"1'46""986",122.0,2019-11-09,2019,Honda,D1,VTR250
466,120,安徳 俊彦,D:Q4,D:Q4,"1'43""974",0,"1'43""414",0,"1'43""414",120.51,2019-09-28,2019,Suzuki,D2,GSX-S1000
