,No,Rider,Front,Rear,Heat1,Pena-1,Heat2,Pena-2,Time,Rating[%],Date,Season,Manufacturer,Class,Machine
228,133,平良 修一,P:スーパーコルサ,P:スーパーコルサ,"9'59""999",MC,"9'59""999",MC,-,,2020-10-03,2020,Honda,C2,VTR250
229,110,押川 一矢,P:スーパーコルサ,P:スーパーコルサ,"1'44""186",1,"1'43""652",1,"1'44""652",111.97,2020-07-12,2020,Kawasaki,C2,ZRX1200S
230,122,押川 一矢,P:スーパーコルサ,P:スーパーコルサ,"1'40""056",0,"1'39""554",2,"1'40""056",112.59,2021-05-04,2021,Kawasaki,C2,ZRX1200S
231,130,押川 一矢,D:クオリファイア2,D:クオリファイア2,"9'59""999",MC,"9'59""999",MC,"9'59""999",,2017-11-09,2017,Kawasaki,C2,ZRX1200R
232,134,押川 一矢,D:アンビートン03,D:アンビートン03,"9'59""999",MC,"1'38""920",0,"1'38""920",115.27,2019-09-28,2019,Kawasaki,C2,ZRX1200S
233,102,押川 一矢,B:,S21,"1'50""495",0,"1'46""693",0,"1'46""693",142.26,2018-10-20,2018,Kawasaki,C2,ZRX1200S
234,118,押川 一矢,D:D213GP,D:D213GP,"1'35""283",3,"1'33""760",1,"1'34""760",114.99,2020-10-03,2020,Kawasaki,C2,ZRX1200S
235,111,押川 一矢,P:スーパーコルサSC1,P:スーパーコルサSC0,"1'43""607",0,"1'42""429",0,"1'42""429",116.81,2019-11-09,2019,Kawasaki,C2,ZRX1200S
236,122,押川 一矢,B: S21,B: S20R,"2'15""171",1,"2'18""412",0,"2'16""171",145.12,2018-08-18,2018,Kawasaki,C2,ZRX1200S
237,113,丸仲 敏郎,D:α-13SP,D:α-13SP,"1'48""616",1,"1'47""428",1,"1'48""428",116.01,2020-07-12,2020,KTM,D1,690DUKE R
238,105,丸仲 敏郎,D:α-13SP,D:α-13,"9'59""999",MC,"1'50""854",0,"1'50""854",118.14,2018-08-18,2018,Yamaha,D1,WR250X
239,114,押川 元樹,D:Q4,D:アンビートン03,"9'59""999",MC,"1'45""877",1,"1'46""877",114.35,2020-07-12,2020,Kawasaki,C2,ZRX1200R
240,131,押川 元樹,B:バトラックス,B:バトラックス,"9'59""999",MC,"2'05""959",0,"2'05""959",155.85,2017-11-09,2017,Kawasaki,C2,ZRX1200R
241,101,押川 元樹,P:スーパーコルサV2,P:スーパーコルサV2,"1'39""053",3,"1'37""925",0,"1'37""925",114.11,2019-09-28,2019,Kawasaki,C2,ZRX1200R
242,119,押川 元樹,P:スーパーコルサV2,P:スーパーコルサV2,"1'39""047",1,"1'38""026",3,"1'40""047",121.41,2020-10-03,2020,Kawasaki,C2,ZRX1200R
243,102,押川 元樹,P:スーパーコルサ,P:スーパーコルサ,"1'31""963",1,"1'29""354",2,"1'31""354",118.18,2019-06-16,2019,Kawasaki,C2,ZRX1200R
244,136,押川 元樹,D:Q4,D:Q4,"1'40""154",0,"1'55""259",3,"1'40""154",114.21,2019-11-09,2019,Kawasaki,C2,ZRX1200R
245,123,押川 元樹,D:クオリファイヤー2,D:クオリファイヤー2,"9'59""999",MC,"2'03""831",0,"2'03""831",131.97,2018-08-18,2018,Kawasaki,C2,ZRX1200R
246,135,藤原 淳司,D:α-13SP,D:Q4,"1'53""026",0,"1'53""029",0,"1'53""026",120.93,2020-07-12,2020,Suzuki,C2,GSX-R1000
247,119,藤原 淳司,D:α-13SP,D:α-13SP,"1'43""924",4,"1'39""159",0,"1'39""159",115.55,2019-09-28,2019,Suzuki,C2,GSX-R1000
248,162,藤原 淳司,D:α-13SP,D:α-13SP,"9'59""999",0,"9'59""999",0,"9'59""999",,2018-10-20,2018,Suzuki,C2,GSX-R1000
249,141,藤原 淳司,D:α-13SP,D:α-13SP,"1'43""015",3,"1'31""197",1,"1'32""197",115.66,2018-05-03,2018,Suzuki,C2,GSX-R1000
250,135,藤原 淳司,D:Q4,D:α-13SP,"1'31""189",0,"1'29""095",0,"1'29""095",115.26,2019-06-16,2019,Suzuki,C2,GSX-R1000
251,134,藤原 淳司,D:α-13SP,D:α-13SP,"1'42""591",0,"1'41""263",0,"1'41""263",115.48,2019-11-09,2019,Suzuki,C2,GSX-R1000
252,166,藤原 淳司,D:α-13SP,D:α-13SP,"1'46""291",0,"1'44""848",0,"1'44""848",111.74,2018-08-18,2018,Suzuki,C2,GSX-R1000
253,140,鈴木 登紀子,D:α-13SP,P:スーパーコルサ,"1'41""363",6,"1'41""539",1,"1'42""539",109.71,2020-07-12,2020,Suzuki,C1,GSX-R1000
254,136,鈴木 登紀子,P:スーパーコルサ,P:スーパーコルサ,"1'34""957",1,"1'34""476",0,"1'34""476",116.89,2017-11-09,2017,Suzuki,C1,GSX-R1000
255,134,鈴木 登紀子,P:スーパーコルサ,P:スーパーコルサ,"1'28""300",4,"1'25""176",2,"1'27""176",112.77,2019-06-16,2019,Suzuki,C1,GSX-R1000
256,141,伊藤 華子,D:α-13SP,D:Q4,"1'46""363",0,"1'44""575",0,"1'44""575",111.88,2020-07-12,2020,Suzuki,C1,GSX-R1000
257,148,伊藤 華子,D:α-13SP,D:Q4,"9'59""999",MC,"1'32""535",0,"1'32""535",107.83,2019-09-28,2019,Suzuki,C1,GSX-R1000
258,138,伊藤 華子,D:α13SP,P:スーパーコルサ,"1'25""477",0,"1'24""770",0,"1'24""770",109.66,2019-06-16,2019,Suzuki,C1,GSX-R1000
259,146,井川 洋一,D:α-13SP,D:Q4,"1'37""941",0,"1'37""588",0,"1'37""588",104.41,2020-07-12,2020,Yamaha,B,MT-09
260,166,井川 洋一,D:α-13SP,D:Q4,"1'52""890",0,"1'34""113",0,"1'34""113",105.9,2021-05-04,2021,Yamaha,B,MT-09
261,102,井川 洋一,D:α13SP,D:α13SP,"1'39""622",0,"9'59""999",MC,"1'39""622",123.26,2017-11-09,2017,Yamaha,B,MT-09
262,114,井川 洋一,D:α-13SP,D:α-13SP,"9'59""999",MC,"1'30""005",0,"1'30""005",112.91,2018-05-03,2018,Yamaha,B,MT-09
263,137,井川 洋一,D:α-13SP,D:α-13SP,"1'24""662",0,"1'22""765",0,"1'22""765",107.07,2019-06-16,2019,Yamaha,B,MT-09
264,157,井川 洋一,D:α-13SP,D:Q4,"1'33""993",2,"1'32""971",0,"1'32""971",106.02,2019-11-09,2019,Yamaha,B,MT-09
265,157,井川 洋一,D:α-13SP,D:α-13SP,"1'47""543",3,"1'41""713",0,"1'41""713",108.4,2018-08-18,2018,Yamaha,B,MT-09
266,147,高橋 輝,D:α-13SP,D:α-13SP,"1'38""832",0,"1'37""390",0,"1'37""390",104.2,2020-07-12,2020,Suzuki,B,DR-Z400SM
267,131,高橋 輝,D:α-13SP,D:α-13SP,"1'29""965",0,"1'29""865",0,"1'29""865",110.59,2017-07-15,2017,Suzuki,B,DR-Z400SM
268,169,高橋 輝,D:α-13SP,D:α-13SP,"1'34""457",0,"1'33""803",0,"1'33""803",105.55,2021-05-04,2021,Suzuki,B,DR-Z400SM
269,144,高橋 輝,D:α-13SP,D:α-13SP,"1'39""960",0,"1'29""378",1,"1'30""378",105.32,2019-09-28,2019,Suzuki,B,DR-Z400SM
270,106,高橋 輝,D:α-13SP,D:α-13SP,"1'29""037",1,"1'27""462",3,"1'30""037",112.95,2018-05-03,2018,Suzuki,B,DR-Z400SM
271,149,井上 裕介,D:α-13SP,D:α-13SP,"1'48""369",0,"1'46""364",0,"1'46""364",113.8,2020-07-12,2020,Kawasaki,C2,ZX-10R
272,119,井上 裕介,D:α-13SP,D:Q4,"1'38""685",0,"1'37""758",0,"1'37""758",110.0,2021-05-04,2021,Kawasaki,C2,ZX-10R
273,162,古藤 雅啓,D:α-13SP,D:α-13SP,"1'38""176",2,"1'38""116",2,"1'40""116",107.11,2020-07-12,2020,Husqvarna,A,SM250R
274,151,古藤 雅啓,D:α-13SP,D:α-13SP,"9'59""999",MC,"9'59""999",MC,"9'59""999",,2017-07-15,2017,Suzuki,A,GSX-R750
275,163,古藤 雅啓,D:α-13SP,D:α-13SP,"1'20""296",0,"9'59""999",MC,"1'20""296",107.06,2018-10-20,2018,Suzuki,A,GSX-R750
276,132,古藤 雅啓,D:α-13SP,D:α-13SP,"9'59""999",MC,"1'25""600",1,"1'26""600",108.64,2018-05-03,2018,Suzuki,A,GSX-R750
277,152,古藤 雅啓,D:α-13SP,D:α-13SP,"1'23""530",0,"1'23""475",0,"1'23""475",107.98,2019-06-16,2019,Husqvarna,A,SM250R
278,165,辻家 治彦,D:α-13SP,D:Q4,"1'38""554",1,"1'36""636",0,"1'36""636",103.39,2020-07-12,2020,Suzuki,A,GSX-R1000
279,180,辻家 治彦,D:α-13SP,D:α-13SP,"1'34""331",0,"1'32""392",0,"1'32""392",103.97,2021-05-04,2021,Suzuki,A,GSX-R1000
280,160,辻家 治彦,D:α-13SP,D:Q4,"1'29""344",0,"1'28""389",1,"1'29""344",104.11,2019-09-28,2019,Suzuki,A,GSX-R1000
281,155,辻家 治彦,D:α13,D:Q4,"1'29""065",0,"1'19""836",0,"1'19""836",103.28,2019-06-16,2019,Suzuki,A,GSX-R1000
282,166,中嶋 秀和,P:スーパーコルサV2,P:スーパーコルサV3,"1'35""831",0,"1'34""916",0,"1'34""916",101.55,2020-07-12,2020,Yamaha,A,TZR250R
283,153,中嶋 秀和,D:α-13SP,D:α-13SP,"1'24""647",0,"1'24""690",0,"1'24""647",104.17,2017-07-15,2017,Yamaha,A,TZR250
284,175,中嶋 秀和,P:ディアブロSC1,P:ディアブロSC1,"1'31""124",0,"1'30""031",0,"1'30""031",101.31,2021-05-04,2021,Yamaha,A,TZR250R
285,157,中嶋 秀和,D:α-13SP,D:α-13SP,"1'39""845",0,"1'27""377",1,"1'28""377",102.99,2019-09-28,2019,Yamaha,A,TZR250
286,165,中嶋 秀和,D:α-13SP,D:α-13SP,"9'59""999",0,"9'59""999",0,"9'59""999",,2018-10-20,2018,Honda,A,NSR250R
287,150,中嶋 秀和,P:ディアブロSC1,P:ディアブロSC1,"1'27""725",1,"1'23""871",0,"1'23""871",101.78,2020-10-03,2020,Yamaha,A,TZR250R
288,147,中嶋 秀和,D:α-13SP,D:α-13SP,"1'22""969",0,"1'22""264",0,"1'22""264",103.2,2018-05-03,2018,Yamaha,A,TZR250
289,150,中嶋 秀和,D:α-13SP,D:α-13SP,"9'59""999",MC,"1'19""261",1,"1'20""261",103.83,2019-06-16,2019,Yamaha,A,TZR250
290,153,中嶋 秀和,D:α-13SP,D:α-13SP,"1'31""112",0,"1'30""511",0,"1'30""511",103.22,2019-11-09,2019,Yamaha,A,TZR250
291,164,中嶋 秀和,D:α-13SP,D:α-13SP,"1'35""793",0,"1'36""051",1,"1'35""793",102.09,2018-08-18,2018,Yamaha,A,TZR250
292,103,大窪 孝広,D:TT93,D:TT93,"1'30""432",1,"1'29""535",0,"1'29""535",110.19,2017-07-15,2017,Honda,C2,GROM
293,104,神谷 了,D:α-13,D:α-13,"1'48""627",2,"1'42""533",0,"1'42""533",126.18,2017-07-15,2017,Kawasaki,D3,ZRX1200DAEG
294,109,神谷 了,MZ:SPORTEC,M7RR,"2'01""895",1,"1'59""847",0,"1'59""847",134.86,2021-05-04,2021,Kawasaki,D3,ZRX1200DAEG
295,190,神谷 了,D:α13,D:α13,"9'59""999",MC,"9'59""999",MC,"9'59""999",,2017-11-09,2017,Kawasaki,D3,ZRX1200DAEG
296,112,神谷 了,D:α-14,D:α-14,"1'49""250",0,"9'59""999",MC,"1'49""250",132.57,2020-10-03,2020,Kawasaki,D3,ZRX1200DAEG
297,118,神谷 了,D:ロードスポーツ2,D:ロードスポーツ2,"1'51""712",0,"1'49""775",0,"1'49""775",125.18,2019-11-09,2019,Kawasaki,D3,ZRX1200DAEG
298,118,神谷 了,D:α-14,D:α-14,"2'01""512",1,"2'00""066",1,"2'01""066",129.02,2018-08-18,2018,Kawasaki,D3,ZRX1200DAEG
299,106,佐藤 知幸,D:α-13SP,D:α-13SP,"1'35""956",0,"1'35""918",0,"1'35""918",118.04,2017-07-15,2017,Kawasaki,D1,Z750
300,109,滝脇 順司,D:α-13SP,IRC:rx-01specR,"9'59""999",MC,"1'34""116",0,"1'34""116",115.83,2017-07-15,2017,Honda,C1,VTR250
301,131,滝脇 順司,D:α-13SP,D:α-13SP,"1'37""719",0,"1'39""144",0,"1'37""719",109.96,2021-05-04,2021,Honda,C1,VTR250
302,111,滝脇 順司,P:スーパーコルサ,P:スーパーコルサ,"1'32""006",0,"1'31""041",0,"1'31""041",112.64,2017-11-09,2017,Honda,C1,VTR250
303,117,滝脇 順司,P:スーパーコルサV3,P:スーパーコルサV3,"1'37""767",0,"1'37""158",1,"1'37""767",113.93,2019-09-28,2019,Suzuki,C1,WOLF200
304,131,滝脇 順司,D:,α-13SP,"1'26""154",0,"1'26""698",0,"1'26""154",114.87,2018-10-20,2018,Honda,C1,VTR250
305,137,滝脇 順司,D:α-13SP,D:α-13SP,"1'49""992",2,"1'31""579",0,"1'31""579",111.13,2020-10-03,2020,Honda,C1,VTR250
306,122,滝脇 順司,P:スーパーコルサ,P:スーパーコルサ,"1'27""184",0,"1'26""404",1,"1'27""184",112.78,2019-06-16,2019,Honda,C1,VTR250
307,113,中里 剛,D:α-13SP,D:α-13SP,"1'37""039",0,"1'35""146",0,"1'35""146",117.09,2017-07-15,2017,Honda,D1,VTR250
308,115,長谷川 悠,D:α-13,D:α-13,"1'42""227",0,"1'41""019",0,"1'41""019",124.32,2017-07-15,2017,Kawasaki,D2,Z1000
309,117,長谷川 悠,P:スーパーコルサ,P:スーパーコルサ,"1'46""910",0,"1'44""370",0,"1'44""370",129.14,2017-11-09,2017,Kawasaki,D2,Z1000
310,116,林 一貴,D:アンビートン03-R3,D:アンビートン03-R3,"1'38""962",0,"1'37""930",0,"1'37""930",120.52,2017-07-15,2017,Yamaha,D1,XJR1300
311,142,林 一貴,MZ:レーステックK1,MZ:レーステックK1,"1'44""135",0,"1'40""944",2,"1'42""944",119.96,2019-09-28,2019,Yamaha,D1,XSR700
312,117,原 辰典,D:α-13SP,D:α-13SP,"1'35""320",1,"1'35""113",0,"1'35""113",117.05,2017-07-15,2017,Kawasaki,D1,Ninja250R
313,120,明慶 康之,P:ロッソコルサ,P:ロッソコルサ,"1'40""350",0,"1'38""988",0,"1'38""988",121.82,2017-07-15,2017,Ducati,D2,MONSTER 900
314,164,明慶 康之,MC:POWEROne,MC:POWEROne,"1'52""728",0,"1'49""716",0,"1'49""716",127.85,2019-09-28,2019,Yamaha,D2,YZF-R6
315,122,明慶 康之,MZ:M7RR,MZ:M7RR,"9'59""999",MC,"1'33""509",0,"1'33""509",124.68,2018-10-20,2018,Ducati,D2,MONSTER 900
316,124,大村 圭,D:α-13SP,D:α-13SP,"1'36""468",0,"1'34""551",0,"1'34""551",116.36,2017-07-15,2017,Suzuki,D1,GSX-R750
317,115,大村 圭,D:α-13SP,D:α-13SP,"1'34""437",0,"1'44""688",1,"1'34""437",118.47,2018-05-03,2018,Suzuki,D1,GSX-R750
318,106,大村 圭,D:α-13SP,D:α-13SP,"9'59""999",MC,"2'01""283",2,"2'03""283",131.39,2018-08-18,2018,Suzuki,D1,GSX-R750
319,125,樫原 弘樹,D:α-13SP,D:α-13SP,"1'34""355",0,"1'32""646",0,"1'32""646",114.02,2017-07-15,2017,Suzuki,C2,SV650
320,129,白川 晋也,D:α-13SP,D:α-13SP,"1'30""368",0,"1'28""704",0,"1'28""704",109.16,2017-07-15,2017,Yamaha,C0,R1-Z
321,162,白川 晋也,D:α-13SP,D:α-13SP,"1'34""859",0,"1'33""524",0,"1'33""524",105.24,2021-05-04,2021,Honda,C0,VTR
322,165,白川 晋也,D:α13SP,D:α13SP,"1'28""126",0,"1'28""122",0,"1'28""122",109.03,2017-11-09,2017,Honda,C0,VTR250
323,135,白川 晋也,P:SC-A,P:SC-A,"1'28""361",0,"1'26""596",0,"1'26""596",108.64,2018-05-03,2018,Yamaha,C0,R1-Z
324,142,白川 晋也,D:α-13SP,D:α-13SP,"1'23""181",0,"1'22""513",0,"1'22""513",106.74,2019-06-16,2019,Honda,C0,VTR250
325,146,白川 晋也,D:α-13SP,D:α-13SP,"1'40""980",1,"1'39""375",1,"1'40""375",106.97,2018-08-18,2018,Honda,C0,VTR250
326,134,鶴田 貴之,P:スーパーコルサ,D:α-14,"1'37""316",0,"1'35""712",1,"1'36""712",119.02,2017-07-15,2017,Honda,D1,CB1300SF
327,136,中嶋 ちはる,D:α-13SP,D:α-13SP,"1'30""948",0,"1'30""415",0,"1'30""415",111.27,2017-07-15,2017,Honda,C1,NSR250R
328,152,中嶋 ちはる,D:α-13SP,D:α-13SP,"1'38""553",0,"1'38""840",0,"1'38""553",110.9,2021-05-04,2021,Honda,C1,NSR250R
329,185,中嶋 ちはる,D:α-13sp,D:α-13sp,"1'30""039",0,"1'31""345",0,"1'30""039",111.4,2017-11-09,2017,Honda,C1,NSR250R
330,105,中嶋 ちはる,D:α-13SP,D:α-13SP,"1'34""610",0,"1'33""194",0,"1'33""194",108.6,2019-09-28,2019,Honda,C1,NSR250R
331,143,中嶋 ちはる,D:α-13SP,D:α-13SP,"9'59""999",0,"9'59""999",0,"9'59""999",,2018-10-20,2018,Honda,C1,NSR250R
332,143,中嶋 ちはる,D:α-13SP,D:α-13SP,"1'32""495",0,"1'32""021",0,"1'32""021",111.67,2020-10-03,2020,Honda,C1,NSR250R
333,138,中嶋 ちはる,D:α-13SP,D:α-13SP,"1'30""940",0,"1'29""446",0,"1'29""446",112.21,2018-05-03,2018,Honda,C1,NSR250R
334,136,中嶋 ちはる,D:α-13SP,D:α-13SP,"1'27""629",0,"1'25""879",0,"1'25""879",111.09,2019-06-16,2019,Honda,C1,NSR250R
335,131,中嶋 ちはる,D:α-13SP,D:α-13SP,"1'39""433",0,"1'37""330",1,"1'38""330",112.13,2019-11-09,2019,Honda,C1,NSR250R
336,153,中嶋 ちはる,D:α-13SP,D:α-13SP,"1'44""000",0,"1'44""855",0,"1'44""000",110.84,2018-08-18,2018,Honda,C1,NSR250R
337,137,夏目 知佳,D:α-13SP,D:D212,"1'34""439",1,"1'33""930",0,"1'33""930",115.6,2017-07-15,2017,Kawasaki,C2,ZRX1100
338,109,夏目 知佳,D:α14,D:α14,"1'34""563",0,"1'36""935",0,"1'34""563",118.63,2018-05-03,2018,Kawasaki,C2,ZRX1100
339,110,夏目 知佳,D:D212,D:D212,"1'45""928",1,"1'44""389",0,"1'44""389",111.25,2018-08-18,2018,Kawasaki,C2,ZRX1100
340,141,細川 貴之,D:α-13SP,D:α-13SP,"1'33""358",0,"1'31""567",0,"1'31""567",112.69,2017-07-15,2017,Suzuki,C2,GSX-R600
341,119,細川 貴之,D:α13SP,D:α13SP,"1'37""904",3,"1'34""431",0,"1'34""431",116.84,2017-11-09,2017,Suzuki,C2,GSX-R600
342,114,細川 貴之,D:α-13SP,D:α-13SP,"1'38""643",0,"1'36""938",0,"1'36""938",112.96,2019-09-28,2019,Suzuki,C2,GSX-R600
343,128,細川 貴之,D:α13-SP,D:α13-SP,"1'29""840",0,"1'28""744",0,"1'28""744",114.8,2019-06-16,2019,Suzuki,C2,GSX-R600
344,144,細川 貴之,D:α-13SP,D:α-13SP,"1'45""887",0,"1'43""534",0,"1'43""534",118.07,2019-11-09,2019,Suzuki,C2,GSX-R600
345,143,三木 将行,MZ:レーステック,D:α-13SP,"9'59""999",MC,"1'41""045",0,"1'41""045",124.35,2017-07-15,2017,Yamaha,C2,MT-07
346,143,三木 将行,P:スーパーコルサV3,D:α-13SP,"1'38""953",0,"1'36""052",0,"1'36""052",111.93,2019-09-28,2019,Yamaha,C2,YZF-R3
347,111,三木 将行,D:α-13SP,D:α-13SP,"1'47""894",0,"1'45""874",0,"1'45""874",112.83,2018-08-18,2018,Yamaha,C2,MT-07
348,145,山口 尊稔,D:TT93,D:TT93,"1'39""053",0,"1'38""296",0,"1'38""296",120.97,2017-07-15,2017,Honda,D2,NSR50改
349,122,山口 尊稔,D:TT93GP,D:TT93GP,"1'38""045",0,"1'36""509",0,"1'36""509",121.07,2018-05-03,2018,Honda,D2,NSR50改
350,157,吉田 拓磨,D:α-13SP,D:α-13SP,"9'59""999",MC,"9'59""999",MC,"9'59""999",,2017-07-15,2017,Honda,C0,VTR250
351,170,吉田 拓磨,D:α13SP,D:α13SP,"1'27""208",2,"1'26""408",3,"1'29""208",110.38,2017-11-09,2017,Honda,C0,VTR250
352,144,吉田 拓磨,D:α-13SP,D:α-13SP,"1'50""900",0,"9'59""999",MC,"1'50""900",118.19,2018-08-18,2018,Honda,C0,VTR250
353,103,小澤 絵美,D:α-14,D:α-14,"1'50""536",0,"1'49""478",0,"1'49""478",123.19,2021-05-04,2021,Honda,D2,VTR250
354,106,三野 遼二,D:α-14,D:α-14,"9'59""999",MC,"1'46""116",2,"1'48""116",121.66,2021-05-04,2021,Suzuki,D2,DR-Z400S
355,108,足立 守啓,D:α-14,D:α-14,"1'53""199",1,"9'59""999",MC,"1'54""199",128.5,2021-05-04,2021,Yamaha,D3,FZ1
356,137,足立 守啓,D:α-13SP,D:α-13SP,"1'53""278",0,"1'52""994",1,"1'53""278",132.0,2019-09-28,2019,Honda,D3,CBR250R
357,108,足立 守啓,D:Q4,D:α-14,"1'48""929",0,"1'47""434",0,"1'47""434",130.37,2020-10-03,2020,Yamaha,D3,FZ1
358,101,足立 守啓,D:α-13SP,D:α-13SP,"1'41""054",0,"1'40""187",0,"1'40""187",129.6,2019-06-16,2019,Honda,D3,CBR250R
359,111,川原 佳那子,D:α-14,D:α-14,"1'50""492",1,"1'47""493",0,"1'47""493",120.96,2021-05-04,2021,Yamaha,D2,MT-03
360,121,川原 佳那子,D:α-14,D:α-14,"1'48""710",0,"1'44""295",0,"1'44""295",121.53,2019-09-28,2019,Yamaha,D2,MT-03
361,113,川原 佳那子,P:スーパーコルサV3,P:スーパーコルサV3,"9'59""999",MC,"9'59""999",MC,-,,2020-10-03,2020,Yamaha,D2,MT-03
362,103,川原 佳那子,D:α-14,D:α-14,"9'59""999",MC,"1'42""179",1,"1'43""179",133.47,2019-06-16,2019,Yamaha,D2,MT-03
363,112,佐々木 達哉,D:α-14,D:α-14,"1'46""832",0,"9'59""999",MC,"1'46""832",120.21,2021-05-04,2021,Suzuki,D2,RGV250Γ
364,127,佐々木 達哉,D:α-13SP,D:α-13SP,"1'55""995",0,"9'59""999",MC,"1'55""995",123.62,2018-08-18,2018,Suzuki,D2,RGV250Γ
365,113,安田 千寿,D:α-13SP,D:α-13SP,"1'50""716",0,"1'46""580",0,"1'46""580",119.93,2021-05-04,2021,Honda,D1,VTR250
366,111,安田 千寿,D:α-13,D:α-13,"1'56""136",0,"1'41""684",0,"1'41""684",123.39,2020-10-03,2020,Honda,D1,VTR250
367,111,安田 千寿,D:α13,D:α14,"1'52""018",4,"1'43""198",0,"1'43""198",133.5,2019-06-16,2019,Honda,D1,VTR250
368,105,安田 千寿,D:α-13SP,D:α-13SP,"1'58""055",0,"1'53""774",0,"1'53""774",129.74,2019-11-09,2019,Honda,D1,VTR250
369,114,小笠原 晶子,D:α-13SP,D:α-13SP,"1'39""712",0,"1'39""632",0,"1'39""632",112.11,2021-05-04,2021,Yamaha,C2,MT-03
370,104,小笠原 晶子,D:α-13SP,D:α-13SP,"1'39""202",0,"9'59""999",99,"1'39""202",115.6,2019-09-28,2019,Yamaha,C2,MT-03
371,103,小笠原 晶子,D:α-13SP,D:α-13SP,"1'35""113",0,"1'33""864",0,"1'33""864",117.75,2018-05-03,2018,Yamaha,C2,MT-03
372,117,大門 優樹,D:α-13SP,P:ディアブロSC1,"1'41""342",1,"1'39""092",0,"1'39""092",111.5,2021-05-04,2021,Suzuki,C2,DR-Z400SM
373,165,大門 優樹,D:α-13SP,D:α-13SP,"1'41""976",0,"1'40""019",0,"1'40""019",116.55,2019-09-28,2019,Suzuki,C2,DR-Z400SM
374,116,大門 優樹,D:α-13SP,D:α-13SP,"1'40""138",0,"1'36""126",1,"1'37""126",117.86,2020-10-03,2020,Suzuki,C2,DR-Z400SM
375,114,大門 優樹,D:α-13SP,D:α-13SP,"1'47""857",0,"1'42""406",0,"1'42""406",116.78,2019-11-09,2019,Suzuki,C2,DR-Z400SM
376,118,安藤 弘二,KINGTIRE:K06,KINGTIRE:K06,"1'48""612",0,"1'47""149",0,"1'47""149",120.57,2021-05-04,2021,Suzuki,D1,GSX-S1000
377,101,安藤 弘二,P:スーパーコルサV2,P:スーパーコルサV2,"1'32""678",1,"9'59""999",MC,"1'33""678",117.52,2018-05-03,2018,Suzuki,D1,GSX-S1000
378,113,安藤 弘二,P:スーパーコルサV2,D:α-13,"1'53""707",0,"1'49""203",0,"1'49""203",116.38,2018-08-18,2018,Suzuki,D1,GSX-S1000
379,120,大浦 耕成,D:α-13SP,D:α-13SP,"1'41""910",3,"1'55""030",3,"1'44""910",118.05,2021-05-04,2021,Suzuki,C2,DR-Z400S
380,139,大浦 耕成,D:α-13SP,D:α-13SP,"9'59""999",MC,"1'26""135",0,"1'26""135",111.43,2019-06-16,2019,Suzuki,C2,DR-Z400S
381,135,大浦 耕成,D:α-13SP,D:α-13SP,"1'40""981",1,"1'40""011",0,"1'40""011",114.05,2019-11-09,2019,Suzuki,C2,DR-Z400S
382,121,大橋 仁,D:α-13SP,D:α-13SP,"1'38""640",1,"1'37""872",0,"1'37""872",110.13,2021-05-04,2021,Kawasaki,C2,Ninja400
383,123,加藤 一馬,P:スーパーコルサ,P:スーパーコルサ,"1'42""464",0,"1'39""569",0,"1'39""569",112.04,2021-05-04,2021,Honda,C2,VTR250
384,124,川田 晃喜,P:ディアブロSC1,P:ディアブロSC1,"1'43""448",0,"1'41""292",0,"1'41""292",113.98,2021-05-04,2021,Suzuki,C2,SV650 ABS
385,132,玉谷 壮弘,P:スーパーコルサ,P:スーパーコルサ,"1'40""888",1,"1'39""688",0,"1'39""688",112.18,2021-05-04,2021,Honda,C2,VTR250
386,113,玉谷 壮弘,D:α13,D:α13,"9'59""999",MC,"1'35""220",0,"1'35""220",117.81,2017-11-09,2017,Kawasaki,C2,ZRX1200R
387,110,玉谷 壮弘,D:Q4,D:Q4,"1'39""852",0,"1'37""743",0,"1'37""743",113.9,2019-09-28,2019,Kawasaki,C2,ZRX1200R
388,117,玉谷 壮弘,D:α-13SP,D:α-13SP,"1'31""361",2,"1'30""128",3,"1'33""128",116.83,2018-05-03,2018,Kawasaki,C2,ZRX1200R
389,108,玉谷 壮弘,D:α13SP,D:α13SP,"1'46""703",1,"1'45""602",2,"1'47""602",114.67,2018-08-18,2018,Kawasaki,C2,ZRX1200R
390,134,西出 昌寛,B:BT601,B:BT601,"1'38""587",0,"1'39""959",0,"1'38""587",110.94,2021-05-04,2021,Honda,C2,GROM
391,135,西出 昌寛,B:BT601,B:BT601,"9'59""999",MC,"1'33""739",0,"1'33""739",113.75,2020-10-03,2020,Honda,C2,GROM
392,126,西出 昌寛,B:BT601,B:BT601,"1'29""648",0,"1'28""600",0,"1'28""600",114.61,2019-06-16,2019,Honda,C2,GROM
393,135,野島 勝成,P:ディアブロSC1,P:ディアブロSC1,"1'37""603",0,"1'37""571",0,"1'37""571",109.79,2021-05-04,2021,Kawasaki,C1,Ninja1000
394,135,野島 勝成,D:Q4,P:スーパーコルサV2,"1'38""621",0,"1'37""109",0,"1'37""109",113.16,2019-09-28,2019,Kawasaki,C1,Ninja1000
395,137,宮橋 正次郎,P:スーパーコルサ,P:スーパーコルサ,"1'54""963",0,"1'46""728",0,"1'46""728",120.1,2021-05-04,2021,Kawasaki,D2,Z400
